EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
6,2.6027962102441373,0.0037560365,5384,9231.00016093254,36.1,181314,0.20912583,0.0,38.143448,0.8155708611011505,0.20912583
8,2.533848680892573,0.00393061,5392,9244.041845560074,36.1,181615,0.17995894,0.0,38.141884,0.9356628134846687,0.17995894
10,2.4685621150286567,0.01264889,5402,9257.075062990189,34.425,181890,0.26449406,0.0,38.14247,0.75506791472435,0.26449406
5,2.445897488770436,0.01406781,5407,9270.031485319138,36.525,182151,0.436635,0.0,38.141605,0.8938314393162727,0.436635
9,2.4663728733449424,0.012602858,5416,9283.2721221447,37.25,182440,0.34819347,0.0,38.14137,0.8527942150831223,0.34819347
7,2.3663289547874435,0.014752771,5423,9296.300782203674,35.85,182697,0.7498021,0.0,38.14174,0.9009547531604767,0.7498021
6,2.3830790633518992,0.013998127,5429,9309.97122168541,35.025,182933,0.36221582,0.0,38.140343,0.9208025932312012,0.36221582
7,2.4833577727745295,0.013488328,5436,9323.249438524246,36.525,183207,0.5917715,0.0,38.138187,0.8996857553720474,0.5917715
9,2.665943245005112,0.0043343166,5445,9336.297458171844,36.65,183495,0.19764504,0.0,38.13949,0.7441281080245972,0.19764504
5,2.7452772503369496,0.013256898,5450,9349.175477981567,37.725,183742,0.50699437,0.0,38.14075,0.9100147858262062,0.50699437
6,2.6825499733428324,0.01247891,5456,9362.173376560211,38.95,183998,0.41382846,0.0,38.140507,0.853169858455658,0.41382846
7,2.64727940474336,0.014285318,5463,9375.18494296074,38.3,184229,0.597489,0.0,38.14259,0.8623185157775879,0.597489
8,2.6511070902592717,0.014287351,5471,9388.105347633362,36.9,184506,0.41388023,0.0,38.14299,0.9280091524124146,0.41388023
8,2.555433391394783,0.004579207,5479,9401.063076734543,36.575,184788,0.1809288,0.0,38.14347,0.9365339875221252,0.1809288
7,2.614704320720894,0.014916977,5486,9413.952330112457,37.575,185038,0.42630532,0.0,38.142216,0.8990086615085602,0.42630532
8,2.5270712419190935,0.012503907,5494,9427.069923639297,35.175,185326,0.60903394,0.0,38.14171,0.8903501406311989,0.60903394
7,2.5325801257316254,0.014873759,5501,9439.951879501343,34.925,185564,0.54374254,0.0,38.139156,0.8610145449638367,0.54374254
6,2.532196531733276,0.014965326,5507,9452.8644053936,35.9,185801,0.89499784,0.0,38.13936,0.85678730905056,0.89499784
6,2.5671995901840803,0.012269493,5513,9465.82566022873,36.95,186056,0.40437967,0.0,38.13768,0.7990813702344894,0.40437967
7,2.5121037405714506,0.0040494334,5520,9479.158607244492,36.7,186309,0.2100861,0.0,38.136913,0.9080954864621162,0.2100861
7,2.4720091405321027,0.012726437,5527,9492.055673122406,37.375,186571,0.80648196,0.0,38.138058,0.9239565059542656,0.80648196
5,2.5425685052127243,0.0140473,5532,9505.626082897186,38.925,186841,0.62842935,0.0,38.137577,0.9374545738101006,0.62842935
7,2.5682523710856198,0.014241279,5539,9518.742555379868,40.05,187085,0.36946028,0.0,38.138535,0.9050786569714546,0.36946028
7,2.5364466454593932,0.012286472,5546,9531.696221113205,39.825,187355,0.3508702,0.0,38.137806,0.9381717443466187,0.3508702
8,2.5388308522205647,0.014351955,5554,9544.815684318542,38.9,187641,0.40558073,0.0,38.137245,0.9124146550893784,0.40558073
7,2.5377942462907073,0.0141134085,5561,9557.698541402817,39.25,187915,0.41527498,0.0,38.136234,0.9315820708870888,0.41527498
7,2.592737013202499,0.0046188217,5568,9570.532757043839,38.975,188169,0.2104037,0.0,38.135548,0.9185173884034157,0.2104037
6,2.6043353722245897,0.013801191,5574,9583.754679203033,37.5,188406,0.3699481,0.0,38.1366,0.8762045726180077,0.3699481
9,2.5517553342954473,0.00405079,5583,9596.597549676895,36.575,188704,0.22518349,0.0,38.136845,0.8941095620393753,0.22518349
7,2.529708856046194,0.013597189,5590,9609.482821464539,37.55,188985,0.41916424,0.0,38.13536,0.9016284719109535,0.41916424
6,2.484153248940392,0.012737086,5596,9622.511174440384,37.975,189224,0.3609515,0.0,38.135265,0.8569403886795044,0.3609515
8,2.5243034879792474,0.003886482,5604,9635.51669549942,37.0,189483,0.19080397,0.0,38.136112,0.9136267453432083,0.19080397
7,2.452188995187753,0.013984524,5611,9648.434722423553,35.775,189737,0.49391496,0.0,38.13628,0.9250508397817612,0.49391496
7,2.4071003936461395,0.0041057514,5618,9661.416321992874,35.875,190000,0.21685712,0.0,38.13509,0.8062823563814163,0.21685712
6,2.448883049443816,0.013391336,5624,9674.509132862091,37.075,190226,0.45190623,0.0,38.13472,0.8709548115730286,0.45190623
9,2.372984544904593,0.0041628154,5633,9687.41581606865,34.475,190497,0.20607084,0.0,38.13478,0.9249877035617828,0.20607084
8,2.3239475513097543,0.013725731,5641,9700.556532144547,34.575,190776,0.43140534,0.0,38.13525,0.8598582148551941,0.43140534
7,2.2963718107000615,0.01481779,5648,9713.532585859299,35.375,191032,0.38151395,0.0,38.135933,0.8952371031045914,0.38151395
