# {"env_id": null, "t_start": 1553348844.0599759} 
r,l,t
2.651635,62,381.996859
2.147772,54,382.842276
0.554949,88,383.572485
2.170291,37,383.876697
1.123039,64,384.412507
1.108679,70,385.407296
0.754232,43,385.76337
2.276982,76,386.388956
2.364767,45,386.75546
1.554992,30,387.007814
2.051525,28,387.241377
0.129143,84,388.319633
1.489868,63,388.837689
2.563486,42,389.185771
2.334324,80,389.845889
1.030404,33,390.50585
2.332876,81,391.177566
2.408915,54,391.624644
1.446188,33,391.888509
2.708811,65,392.421301
1.691114,55,393.392253
2.164183,44,393.755193
1.714564,36,394.056756
1.336232,56,394.519406
2.612468,46,394.901823
1.938604,57,395.810394
2.107458,62,396.327581
2.315056,57,396.79597
2.846778,51,397.218981
2.371842,41,397.548031
1.984641,33,398.207414
0.391233,26,398.423293
0.817321,50,398.837576
2.154357,58,399.321585
2.106054,33,399.587758
2.069765,34,399.869215
3.430606,63,400.9558
1.054523,36,401.261012
2.21553,52,401.692791
2.238876,36,401.993812
2.563824,38,402.311203
3.096694,59,402.795265
3.181407,91,403.921288
3.237789,67,404.464919
2.334506,57,404.928191
1.755799,53,405.823447
2.12823,47,406.217854
2.364049,32,406.488316
1.789049,54,406.939146
2.104773,31,407.191367
1.504902,57,407.657061
1.663133,79,408.695386
1.583421,31,408.951149
2.125517,31,409.207847
2.41354,81,409.873722
2.438998,53,410.3141
1.552788,21,410.922122
2.213282,72,411.522488
1.629128,32,411.789809
2.160518,54,412.236149
2.037702,49,412.640191
1.682178,36,412.937411
2.952907,54,413.777522
0.737833,57,414.257411
0.769939,79,414.921551
1.252907,86,416.069738
2.95254,44,416.437443
0.403934,49,416.83875
2.483753,40,417.17177
1.974254,43,417.521422
1.969297,63,418.561374
1.837758,27,418.78338
2.614465,74,419.39607
0.989612,57,419.861151
1.932966,28,420.097572
0.982022,56,420.559036
2.029908,30,421.190672
2.383838,52,421.623791
2.191059,32,421.890922
2.501837,54,422.335011
1.768842,35,422.614809
3.133856,49,423.010195
3.266256,59,423.933013
2.483905,38,424.247982
0.609898,57,424.70686
2.369285,36,425.010136
2.774358,46,425.394315
1.632583,61,426.269032
0.073383,65,426.799759
1.752176,33,427.065675
1.431801,64,427.589639
2.53874,46,427.977067
0.082935,48,428.814102
2.636038,46,429.199401
3.09822,89,429.935421
1.954742,64,430.466348
2.071472,62,431.42298
3.251394,79,432.057151
3.66189,72,432.645192
0.979893,53,433.077523
2.931768,40,433.826283
2.259832,36,434.131639
1.764533,48,434.525283
2.056909,33,434.792339
1.188157,50,435.211559
